id_categoria;nome_esercizio;descrizione_esercizio;note
2;STRETCHING PER L’INTRAROTAZIONE;Con l’arto interessato posizionato dietro la schiena, impugnare un asciugamano e tirarlo dolcemente verso l’alto con l’arto non interessato. Quando si sente tensione, mantenere 30 secondi.;3/5 ripetizioni 1/2 ripetizioni del set 1/2 volte al giorno
2;STRECHING PER LA FLESSIONE;Da seduti, appoggiare l’arto interessato sul tavolo e piegare il tronco dolcemente in avanti fino ad avvertire una sensazione di tensione. Quando si sente tensione, mantenere 30 secondi.;2/3 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;STRETCHING CAPSULA POSTERIORE;Appoggiare la spalla interessata contro il muro e portare la mano dell’arto interessato sulla spalla controlaterale, con la spalla in flessione a 90°. Con l’altra mano spingere il gomito verso il lato opposto fino all’altezza dello sterno. Quando si sente tensione, mantenere la posizione per 30 secondi.;2/3 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;STRETCHING CAPSULA POSTERIORE;Alzare il gomito dell’arto interessato sopra la testa e portare la mano dietro la schiena. Con l’altra mano afferrare il gomito e tirare dolcemente. Quando si sente tensione, mantenere la posizione per 30 secondi.;2/3 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;ADDUZIONE SCAPOLARE;Con gli arti lungo i fianchi, cercare di avvicinare le scapole spingendo le spalle all’indietro. Mantenere la posizione per 15 secondi.;15 ripetizioni 2/3 ripetizioni del set 2/3 volte al giorno
2;ADDUTTORI SCAPOLARI;"Con l’arto non interessato in appoggio sul tavolo, tronco flesso anteriormente e rachide allineato; alzare il gomito dell’arto interessato adducendo la scapola. Eventualmente utilizzare un peso leggero.";15 ripetizioni 2/3 ripetizioni del set 1/2 volte al giorno
2;ANTEPOSIZIONE DI SCAPOLA;Da sdraiati in posizione supina, impugnare due pesi leggeri. Mantenendo il rachide e il capo bene appoggiati a terra, spingere i pesi verso l’alto.;15 ripetizioni 2/3 ripetizioni del set 1/2 volte al giorno
2;ESTENSIONE DI SPALLA;Da proni (a pancia in giù), impugnare due pesi leggeri e sollevarli, mantenendo i gomiti estesi.;15 ripetizioni 2/3 ripetizioni del set 1/2 volte al giorno
2;FLESSIONE ISOMETRICA;Usando il muro come resistenza, con il gomito a 90°, spingere dolcemente una palla morbida e mantenere la pressione per 10 secondi.;10 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;ADDUZIONE ISOMETRICA;Usando il proprio corpo come resistenza, con il gomito a 90°, stringere dolcemente una palla morbida e mantenere la pressione per 10 secondi.;10 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;EXTRAROTAZIONE ISOMETRICA;Usando il muro come resistenza, con il gomito a 90°, spingere dolcemente una palla morbida con l’esterno dell’avambraccio e mantenere la pressione per 10 secondi.;10 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;INTRAROTAZIONE ISOMETRICA;Usando il muro come resistenza, con il gomito a 90°, stringere dolcemente una palla morbida e mantenere la pressione per 10 secondi.;10 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;ABDUZIONE ISOMETRICA;Usando il muro come resistenza, con il gomito a 90°, spingere dolcemente una palla morbida con l’esterno dell’omero, mantenere la pressione per 10 secondi.;10 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;ESTENSIONE ISOMETRICA;Usando il muro come resistenza, con il gomito a 90°, spingere dolcemente una palla morbida con l’esterno dell’omero, mantenere la pressione per 10 secondi.;10 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;RINFORZO INTRAROTATORI;Mantenere il tronco fermo ed in posizione eretta, impugnare un elastico e ruotare l’arto interessato internamente, mantenendo il gomito a 90°.;15 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;RINFORZO EXTRAROTATORI 1;Mantenere il tronco fermo ed in posizione eretta, impugnare un elastico e ruotare l’arto interessato esternamente, mantenendo il gomito a 90°.;15 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;RINFORZO EXTRAROTATORI 2;Sdraiati sul fianco, impugnare un peso leggero e ruotare l’arto interessato esternamente, mantenendo il gomito a 90°.;15 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;RINFORZO ESTENSORI;Mantenere il tronco fermo ed in posizione eretta, impugnare un elastico e, a gomito esteso, tirare all’indietro.;15 ripetizioni 2 ripetizioni del set 1/2 volte al giorno
2;RINFORZO ESTENSORI;Impugnando un elastico, a gomito esteso, tirare verso il basso;15 ripetizioni 2 ripetizioni del set 1/2 volte al giorno
2;ESTESIONE PASSIVA DI GOMITO;Appoggiare il gomito con il palmo della mano rivolto perso l’alto su una superficie morbida di 3/4 cm e usare l’altro arto per spingere dolcemente la mano verso il basso.;2/3 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
2;ESTENSIONE DI GOMITO;Da supini, con il gomito flesso, estenderlo completamente Eventualmente un peso leggero.;15 ripetizioni 2/3 ripetizioni del set 1/2 volte al giorno
2;PRONOSUPINAZIONE;Gomito flesso a 90°, partendo con il palmo della mano rivolto verso il basso, girarlo verso l’alto e viceversa.;15 ripetizioni 2/3 ripetizioni del set 1/2 volte al giorno
2;STRETCHING FLESSORI DI POLSO;Con il gomito esteso, usare l’arto non interessato per portare polso e dita in estensione. Quando si sente tensione, mantenere per 30 secondi.;2/3 ripetizioni 1 ripetizioni del set 1/2 volte al giorno
3;ESERCIZIO PRESA DI COSCIENZA RESPIRAZIONE DIAFRAMMATICA;1) Inspirare l’aria dal naso gonfiando l’addome come un palloncino stando attenti a non alzare il torace (mettete una mano sulla pancia e una sullo sterno: la mano sull’addome si muove mentre l’addome si gonfia, la mano sul torace rimane ferma poiché il torace deve restare immobile). 2) Espirare con la bocca sgonfiando l’addome (la mano sulla pancia si abbassa insieme alla pancia stessa mentre quella sullo sterno rimane ferma). Premere l’addome verso il pavimento immaginando di avvicinare l’ombelico il più possibile alla colonna vertebrale. 3) Rimanere qualche secondo con la muscolatura contratta e poi iniziare con una nuova inspirazione (punto 1);
3;ESERCIZIO DI ROTAZIONE PELVICA;Per eseguire questo esercizio di flessibilità lombare, è necessario rilassare i muscoli della schiena e mantenerli flessibili: 1) Sdraiarsi sul pavimento con le ginocchia piegate e i piedi appoggiati completamente al suolo, tenendo le braccia distese lungo i fianchi. 2) Inarcare delicatamente la parte bassa della schiena spingendo in fuori lo stomaco. 3) Tenere la posizione per 5 secondi, quindi rilassarsi. 3) Appiattire la schiena e tirare l’ombelico verso il pavimento. 4) Mantenere la posizione per 5 secondi, quindi rilassarsi. 5) Aumentare il numero di ripetizioni ogni giorno, fino a 30;
3;ESERCIZIO DELLE GINOCCHIA AL PETTO;Tenendo schiena e bacino appoggiati al suolo, portare entrambe le ginocchia piegate sul petto e mantenere la posizione allungata per 5-10 secondi. Ripetere da 5 a 10 volte.;
3;ESERCIZIO DEL GATTO E CAMMELLO;Inarcare la schiena verso il soffitto, come un gatto arrabbiato. Aumentare il movimento inspirando profondamente. Quindi espirare, abbassare il torace e l’addome verso il pavimento e sollevare leggermente la testa come mostrato. Ripetere 10 volte. Questo esercizio allunga delicatamente il tessuto connettivo delle radici nervose che provengono dal midollo spinale.;
3;RINFORZO DEI MUSCOLI ADDOMINALI TRASVERSALI;Sdraiati sulla schiena con le ginocchia piegate. Ginocchia e piedi devono essere alla larghezza delle spalle. Durante l’espirazione, allungarsi verso l’alto come se si dovesse afferrare un trapezio. Quindi sollevare la testa e le spalle dal pavimento, fino al punto in cui le scapole toccano appena il pavimento e mantenere la posizione per 1-2 secondi. Inspirare ritornando alla posizione di partenza.;Vedi figura 4. 1) Mantenere la posizione 1-2 secondi 2) Ripetere fino a quando si avverte affaticamento 1 volta al giorno 4-5 giorni a settimana
3;ESERCIZIO DEL PONTE A GAMBA SINGOLA;1) Sdraiati sulla schiena con le ginocchia piegate e i piedi sotto le ginocchia. 2) Stringere i muscoli addominali e i glutei e sollevare lentamente il bacino per creare una linea retta dalle ginocchia alle spalle. 3) Sollevare ed estendere lentamente una gamba mantenendo il bacino sollevato e ben fermo. Se il bacino si inclina o scende, piegare il ginocchio esteso appoggiando il piede sul pavimento e fare un ponte a due gambe. 4) Mantenere la posizione per 10 secondi e abbassarlo. Ripetere con l’altra gamba.;
3;ESERCIZIO DEL PONTE SU DUE GAMBE PER LA LOMBALGIA;Sdraiati sulla schiena con le mani lungo i fianchi, le ginocchia piegate e i piedi ben appoggiati sul pavimento. Assicurarsi che i piedi siano in asse con le ginocchia. Contrarre i muscoli addominali e i glutei. Alzare i fianchi verso l’alto per creare una linea retta dalle ginocchia alle spalle. Contrarre la muscolatura addominale e lombare e provare a tirare l’ombelico indietro verso la colonna vertebrale senza muovere la schiena. L’obiettivo è mantenere una linea retta dalle spalle alle ginocchia e mantenerla per 20-30 secondi.;
3;ESERCIZIO PER L’ALLUNGAMENTO DEI FLESSORI DEL GINOCCHIO;"Distendere le gambe; sollevarne una in alto tenendo il piede “a martello” (la punta rivolta verso di sé) fino al raggiungimento della massima tensione dei muscoli posteriori della coscia: mantenere la tensione per 30 secondi e riportare la gamba sul pavimento alla posizione di partenza. Alternare le gambe";
3;ESERCIZIO DELLA VONGOLA;Mentre si è sdraiati su un fianco, tenere entrambe le ginocchia piegate e piegare le cosce di 30 gradi. Mentre si tengono i talloni a contatto tra loro e il bacino fermo, aprire le ginocchia contraendo il medio gluteo. Fare un movimento molto lento, poco esteso e mirato. Appoggiare la mano sul medio gluteo (appena sotto e dietro l’anca) per assicurarsi che si contragga durante il movimento. Ripetere il movimento lentamente da 10 a 15 volte e cambiare lato.;
3;ESERCIZIO PER L’ALLUNGAMENTO DELL’ILEOPSOAS;Con un ginocchio a terra e l’altra gamba piegata a 90° davanti a sé, ruotare la gamba verso l’esterno, contraendo i glutei sul lato che si sta allungando. Successivamente, piegarsi in avanti utilizzando l’articolazione dell’anca (non utilizzare il tratto lombare della colonna vertebrale).;Si dovrebbe avvertire un allungamento nella parte anteriore dell’anca su cui il paziente è in ginocchio. Mantenere per 30 secondi Ripetere 1-2 volte al giorno
3;ESERCIZIO PER L’ALLUNGAMENTO DEL MUSCOLO PIRAMIDALE;Sdraiarsi sul pavimento con le ginocchia flesse ed i piedi in appoggio. Sollevare una gamba e posizionare il piede sul pavimento lateralmente al ginocchio opposto. Tirare il ginocchio sottostante usando le mani o un asciugamano, se necessario, fino a sentire l’allungamento muscolare. Mantenere l’allungamento per 30 secondi, quindi tornare lentamente alla posizione iniziale.;
4;ESERCIZI PER LA MOBILITA’ ARTICOLARE DELLE ANCHE;I primi esercizi aiutano a migliorare l’apertura e la rotazione delle anche. Posizione seduta con schiena e bacino appoggiati completamente al muro, gambe unite e distese. Piegare la gamba destra, poi espirando, portare il ginocchio destro in fuori, avvicinandolo il più possibile a terra, inspirando tornare alla posizione iniziale.;Eseguire 20 ripetizioni. Ripetere cambiando gamba.
4;Esercizio n. 1;Questo esercizio, insieme ai successivi, favorisce l’allungamento dei muscoli ischio-crurali e del polpaccio. In posizione supina con i glutei, le gambe distese ed i piedi uniti appoggiati al muro, braccia distese lungo i fianchi, rachide allineato al piano. Espirando, spingere il bacino contro il pavimento e contemporaneamente stendere completamente le gambe, avendo l’accortezza di mantenere il rachide appoggiato al suolo, inspirando ritornare nella posizione di partenza.;Eseguire 20 ripetizioni.
4;Esercizio n. 2;Partendo dalla posizione dell’esercizio precedente, espirando, portare il piede destro a martello, inspirando tornare nella posizione iniziale. Eseguire 20 ripetizioni. Ripetere cambiando gamba. Poi eseguire contemporaneamente con entrambi i piedi.;
4;Esercizio n. 3;Questo esercizio aiuta anche a conservare l’estensione dell’arto inferiore, necessaria per compiere il passo. In piedi con le mani appoggiate anteriormente, mettere un piede in avanti e mantenere l’altro ben appoggiato al suolo, tallone compreso, gamba completamente tesa. Flettere il più possibile il ginocchio posto anteriormente, mantenendo l’altra gamba ben tesa.;Mantenere la posizione per diversi secondi (da 6 a 10).
4;Esercizio n. 4;Questo esercizio permette di effettuare l’allungamento del quadricipite femorale. Porsi in piedi davanti ad una parete ed appoggiare una mano al muro. Mantenendo l’anca in estensione, piegare il ginocchio ed afferrare posteriormente il piede con la mano libera. Mantenere la posizione per 10-20 secondi poi ritornare lentamente alla posizione di partenza.;
4;ESERCIZI PER IL RINFORZO MUSCOLARE;Per ciascun esercizio eseguire serie di 5-10 movimenti con pausa lunga il doppio della durata dell’esercizio. Iniziare con due serie, aumentandole gradualmente.;
4;Esercizio n. 1;Questo esercizio serve a tonificare i muscoli del gluteo. Sdraiati supini, un arto con il ginocchio flesso e il piede ben appoggiato a terra, mentre l’altra gamba è distesa a terra. Con quest’ultima fare un movimento di pressione come per spingere il tallone verso il basso, facendo attenzione a non sollevare il bacino. Se eseguito correttamente, si sente il gluteo contrarsi. Alternare contrazioni veloci ad altre prolungate (5-10 secondi).;
4;Esercizio n. 2;Come il precedente anche questo esercizio serve a tonificare i muscoli glutei (e gli ischiocrurali), importanti per l’estensione dell’anca, per evitare la zoppia e per mantenere una buona deambulazione. Sdraiati supini con le ginocchia piegate e i piedi completamente in appoggio sul pavimento, contrarre i glutei e sollevare lentamente il bacino in modo che il corpo formi una linea retta dalle ginocchia alle spalle (ponte). Mantenere la posizione per 6-30 secondi poi abbassare il bacino e ripetere per 5-10 volte. Si può arrivare progressivamente a svolgere 4 serie di 20 ponti. Allontanare i talloni dalle natiche in caso di crampi o dolori alle ginocchia. Per aumentare la difficoltà, eseguire l’esercizio con una gamba dritta e sollevata.;
4;Esercizio n. 3;"Questo esercizio aiuta a rinforzare i muscoli abduttori dell’anca. Sdraiarsi sul fianco con il ginocchio semiflesso. Portare verso l’alto l’arto inferiore posto superiormente, mantenendolo ben disteso e senza muovere la schiena, poi riportarlo lentamente verso il basso. Un’alternativa è sdraiarsi sul fianco appoggiando il gomito a terra, con la testa posizionata in modo che l’orecchio sia allineato con la spalla; in entrambi i casi durante l’esercizio bisogna stare sbilanciati con il bacino in avanti e non appoggiarsi sul gluteo omolaterale per eseguire correttamente il movimento. Ripetere per 10-12 volte.";
4;Esercizio n. 4;Questo esercizio aiuta a rinforzare l’adduzione delle anche (e ad aumentarne l’articolarità in abduzione). Sedersi a cavalcioni di una sedia, con il busto il più eretto possibile. Inizialmente sedersi sul bordo, le anche non troppo aperte. Stringere le cosce verso la sedia, rimanendo in questa posizione per 5 minuti circa. Avvicinarsi gradualmente allo schienale della sedia, in modo che le anche si aprano lentamente.;
4;Esercizio n. 5;Questo esercizio permette di rinforzare i flessori dell’anca con l’aiuto di un elastico legato all’altezza di entrambe le caviglie. Posizionarsi in piedi con le mani sui fianchi per controllare l’assenza di movimento del bacino. Portare in avanti una gamba, vincendo la resistenza dell’elastico, poi ritornare lentamente alla posizione di partenza. Ripetere 5-10 volte. Si possono alternare serie di movimenti veloci ad altre di movimenti lenti.;
4;ESERCIZI PER IL GINOCCHIO;;
4;ESERCIZI PER IL GINOCCHIOEsercizio n. 1;Questo esercizio aiuta a rinforzare il quadricipite femorale e a raggiungere la massima estensione del ginocchio. Da sdraiati in posizione supina, porre un piccolo cilindro o un asciugamano arrotolato sotto al ginocchio. Schiacciare il più possibile l’asciugamano con la gamba, tenendo la contrazione e contando fino a 5.;Ripetere per 10 volte.
4;ESERCIZI PER IL GINOCCHIO Esercizio n. 2;Questo esercizio aiuta a rinforzare l’estensione del ginocchio (insieme alla flessione dell’anca) e a mantenere in allungamento i muscoli posteriori dell’arto inferiore. Da sdraiati in posizione supina, con una gamba piegata, sollevare l’altra gamba ben tesa per almeno 30 cm, poi riportarla al suolo. Ripetere 10 volte. Quando l’esercizio diventa facile, si può aggiungere un peso leggero alla caviglia.;
4;ESERCIZI PER IL GINOCCHIO Esercizio n. 3;Questo esercizio rinforza il quadricipite femorale (contro gravità). Sedersi su una sedia (o su un tavolo) sufficientemente alta, affinché i piedi non tocchino terra e le ginocchia stiano a 90 gradi. Conservando una corretta postura del rachide, stendere il ginocchio, portando il piede verso l’alto, e mantenere la posizione per 5-10 secondi. Si può aggiungere un peso alla caviglia quando l’esercizio diventa troppo facile.;
4;ESERCIZI PER IL GINOCCHIO Esercizio n. 4;Questo esercizio permette di aumentare sia l’articolarità che la forza in flessione del ginocchio. Sdraiato prono. Alzare la gamba, piegando il ginocchio e mantenendo appoggiata la coscia. Avvicinare il piede ai glutei, finché si riesce senza avvertire dolore al ginocchio. Mantenere la posizione raggiunta per 5 secondi e poi ritornare lentamente verso la posizione iniziale. Ripetere per 10-15 volte. Quando l’esercizio risulta facile, aggiungere un peso alla caviglia. Nell’immagine è raffigurato un esercizio contro resistenza data da elastico.;
4;ESERCIZI PER IL GINOCCHIO Esercizio n. 5;Lo step è utile per rinforzare soprattutto quadricipite e glutei. Posizionarsi davanti ad un gradino, portare sopra un piede e salire, stendendo il ginocchio.;Scendere e ripetere per 10-15 volte.
4;ESERCIZI PER IL GINOCCHIO Esercizio n. 6;"Questo esercizio permette di allungare la bandelletta ileotibiale, situata nella parte laterale della coscia Posizionarsi in piedi. Incrociare la gamba sinistra davanti alla destra e allungare le braccia sopra la testa; piegare il tronco verso sinistra quanto più possibile senza muovere le ginocchia e mantenere la posizione per alcuni secondi. Ripetere l’esercizio dall’altra parte, incrociando la gamba destra davanti alla sinistra e inclinando il busto verso destra. Si può eseguire anche sedendosi a terra con le gambe distese in avanti. Incrociare l’una sull’altra e portare il ginocchio quanto più vicino possibile al petto. Mantenere la posizione per alcuni secondi e ripetere con l’altra gamba.";
4;Esercizio n. 7;"Per rinforzare i quadricipiti femorali si possono eseguire gli affondi. Partire in posizione eretta con le mani appoggiate sui fianchi; fare un grande passo in avanti con il piede destro e abbassare il corpo, finché la gamba destra non è piegata a 90°, facendo attenzione che il ginocchio non superi la punta del piede. Il ginocchio posteriore deve abbassarsi fin quasi al pavimento e la schiena rimanere diritta. Ripetere l’esercizio 5-10 volte poi passare all’altra gamba. Con l’allenamento si possono fare fino a 4 serie di 20 ripetizioni ed eventualmente aggiungere dei pesi leggeri.";
4;ESERCIZI PER IL GINOCCHIO Esercizio n. 8;Lo squat aiuta a rinforzare i muscoli dell’arto inferiore, ma anche a migliorare postura e coordinazione. In piedi flettere le ginocchia, assicurandosi che non superino le punte dei piedi e scendere quanto possibile, per poi salire di nuovo e ripetere il movimento. Eseguire 5-10 ripetizioni per un numero di serie crescente, arrivando fino a 4 serie di 15 ripetizioni. Inizialmente, può essere utile ricorrere ad un cuneo sotto i talloni per effettuare correttamente il movimento tenendo i piedi in appoggio completo.;
4;ESERCIZI PER IL GINOCCHIO Esercizio n. 9;Per rinforzare tutto l’arto inferiore senza gravare sulle articolazioni un ottimo strumento è la cyclette.;Iniziare con 5 minuti ed aumentare progressivamente fino a 20 minuti.
5;POSIZIONE SEDUTA;"1) Rullare una pallina da tennis, partendo dal tallone fino alla punta del piede; imprimere una pressione moderata alla pallina, ripetere 30 volte. 2) Auto mobilizzazione: a gambe incrociate impugnare con una mano il calcagno e con l’altra l’avampiede, la mano che afferra l’avampiede imprime una mobilizzazione passiva dell’avampiede, ripetere 30 volte. 3) Autopalpazione della fascia plantare: scorrere le dita all’interno dell’arco plantare ed eseguire una digitopressione attorno al calcagno. 4) Mantenendo una posizione seduta ben allineata, alternare i movimenti di sollevamento punta - tallone, ripetere 30 volte. L’uso di una lattina fredda, al posto della pallina, permette in fase di relax un miglior detensionamento dei tessuti coinvolti durante la pratica.";
5;POSIZIONE IN PIEDI;"1) Alternare i movimenti di sollevamento punta - tallone, ripetere 30 volte. 2) Mantenere l’equilibrio in posizione eretta in appoggio monopodalico, prima con un arto e poi con l’altro: prima su una superficie piana (pavimento), poi sperimentare il mantenimento della posizione su un piano di appoggio irregolare, come ad esempio, un cuscino morbido o un asciugamano ripiegato su sé stesso. 3) Lo stretching dei polpacci si svolge in piedi, con le mani in appoggio su una parete. L’arto sano deve essere posizionato avanti rispetto al controlaterale, la gamba posteriore deve essere mantenuta dritta e con il tallone appoggiato a terra; le punte dei piedi sono rivolte in avanti. Partendo da questa posizione, si appoggiano le mani contro la parete e lentamente si porta in avanti il busto fino a sentire tensione al polpaccio; mantenere la posizione per almeno 15 secondi. 5) Alternare i movimenti di sollevamento punta - tallone, ripetere 30 volte. 6)Mantenere l’equilibrio in posizione eretta in appoggio monopodalico, prima con un arto e poi con l’altro: prima su una superficie piana (pavimento), poi sperimentare il mantenimento della posizione su un piano di appoggio irregolare, come ad esempio, un cuscino morbido o un asciugamano ripiegato su sé stesso. 7) Lo stretching dei polpacci si svolge in piedi, con le mani in appoggio su una parete. L’arto sano deve essere posizionato avanti rispetto al controlaterale, la gamba posteriore deve essere mantenuta dritta e con il tallone appoggiato a terra; le punte dei piedi sono rivolte in avanti. Partendo da questa posizione, si appoggiano le mani contro la parete e lentamente si porta in avanti il busto fino a sentire tensione al polpaccio; mantenere la posizione per almeno 15 secondi.";
